Method,DEL,INS,NDCG,POS@1,POS@3,POS@5,POS@10,NEG@1,NEG@3,NEG@5,NEG@10
LXR,0.0074,0.0395,0.609,0.3541,0.5944,0.7049,0.7934,0.7698,0.9334,0.9654,0.984
LIME,0.0094,0.018,0.7012,0.4595,0.7175,0.8153,0.8904,0.7825,0.9309,0.9553,0.9772
Jac.,0.0079,0.03,0.6251,0.3626,0.6121,0.7268,0.8314,0.6712,0.8912,0.9486,0.9764
Cos.,0.0079,0.0301,0.629,0.3634,0.6214,0.7352,0.8474,0.6754,0.8963,0.9503,0.9747
SHAP,0.0114,0.0118,0.7954,0.6037,0.8364,0.9039,0.9511,0.5675,0.7934,0.8541,0.9157
ACC.,0.0083,0.019,0.7631,0.5995,0.7614,0.817,0.8828,0.4115,0.7445,0.8592,0.9427
DiceRec,0.0091,0.0271,0.4817,0.2159,0.4696,0.6265,0.7926,0.6341,0.8634,0.9073,0.9511
