Method,DEL,INS,NDCG,POS@1,POS@3,POS@5,POS@10,NEG@1,NEG@3,NEG@5,NEG@10
LXR,0.006,0.0411,0.7326,0.4955,0.7641,0.8798,0.9421,0.8561,0.9866,0.9911,0.997
LIME,0.0065,0.0111,0.8019,0.589,0.8605,0.9332,0.9748,0.8961,0.9911,0.997,1.0
Jac.,0.0059,0.0281,0.7101,0.4496,0.7448,0.8605,0.9392,0.7819,0.9525,0.9807,0.9926
Cos.,0.0059,0.028,0.7268,0.4792,0.7626,0.8724,0.9525,0.7893,0.9644,0.9911,0.9985
SHAP,0.0073,0.006,0.8707,0.7092,0.9362,0.9807,0.9985,0.7122,0.9318,0.9718,0.9911
ACC.,0.0058,0.0124,0.8683,0.7418,0.8887,0.9362,0.9777,0.4866,0.8457,0.9451,0.9881
DiceRec,0.0067,0.0206,0.5919,0.2893,0.6172,0.7774,0.9258,0.727,0.9303,0.9763,0.9911
