Method,DEL,INS,NDCG,POS@1,POS@3,POS@5,POS@10,NEG@1,NEG@3,NEG@5,NEG@10
LXR,0.0134,0.0133,0.7911,0.5814,0.8605,0.8837,0.9767,0.7442,0.9302,0.9767,0.9767
LIME,0.0105,0.0219,0.5592,0.2558,0.5116,0.6977,0.907,0.814,1.0,1.0,1.0
Jac.,0.0104,0.023,0.5567,0.2326,0.6047,0.6512,0.8372,0.7209,0.9302,1.0,1.0
Cos.,0.0105,0.0222,0.5398,0.2326,0.5349,0.6047,0.8372,0.7442,0.9302,1.0,1.0
SHAP,0.0155,0.0073,0.8729,0.7442,0.8837,0.9767,1.0,0.7674,0.8837,0.9535,1.0
ACC.,0.0126,0.0097,0.775,0.5814,0.7907,0.8605,0.9302,0.2791,0.6279,0.7674,0.9767
DiceRec,0.01,0.0179,0.3755,0.1163,0.2558,0.4186,0.7674,0.6512,0.8605,0.9535,1.0
